stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
LYB,LyondellBasell,105.57,80.0,111.78,132.0,9,-24.22,5.88,25.04
ETR,Entergy,98.44,105.0,111.71,119.0,8,6.66,13.48,20.89
AJG,Arthur J Gallagher & Co,125.7,124.0,135.43,150.0,7,-1.35,7.74,19.33
FLT,Fleetcor Technologies,278.46,245.0,298.63,328.0,9,-12.02,7.24,17.79
VLO,Valero Energy,73.11,66.0,88.0,110.0,12,-9.73,20.37,50.46
AMP,Ameriprise Financial,232.58,212.0,244.38,276.0,8,-8.85,5.07,18.67
ODFL,Old Dominion Freight,235.75,194.0,225.27,239.0,11,-17.71,-4.45,1.38
AEE,Ameren,81.46,78.0,81.8,87.0,4,-4.25,0.42,6.8
TSN,Tyson Foods,75.98,80.0,80.0,80.0,1,5.29,5.29,5.29
KKR,KKR & Co,48.47,39.0,53.55,72.0,11,-19.54,10.48,48.55
FRC,First Republic Bank,170.09,148.0,168.8,200.0,11,-12.99,-0.76,17.58
EIX,Edison International,60.68,64.0,69.0,75.0,7,5.47,13.71,23.6
LVS,Las Vegas Sands,61,53.5,65.36,77.0,7,-12.3,7.15,26.23
MXIM,Maxim Integrated,93.14,95.0,97.83,100.0,7,2.0,5.04,7.37
AMCR,Amcor,11.78,12.0,12.8,13.190092,5,1.87,8.66,11.97
LH,Laboratory,252.85,235.0,268.89,300.0,6,-7.06,6.34,18.65
TTWO,Take-Two,174.29,204.0,226.0,250.0,18,17.05,29.67,43.44
DFS,Discover Financial Services,96.96,101.0,108.78,115.0,10,4.17,12.19,18.61
KSU,Kansas City Southern,253.62,200.0,246.73,290.0,11,-21.14,-2.72,14.34
CMS,CMS Energy,60.93,60.0,63.67,67.0,6,-1.53,4.5,9.96
KEYS,Keysight Technologies,142.19,144.0,164.0,175.0,10,1.27,15.34,23.07
W,Wayfair,343.68,200.0,319.33,450.0,17,-41.81,-7.09,30.94
TTD,Trade Desk,671.21,730.0,925.92,1010.0,13,8.76,37.95,50.47
TFX,Teleflex,413.02,440.0,454.43,470.0,7,6.53,10.03,13.8
AKAM,Akamai,102.7,115.0,125.7,162.0,11,11.98,22.4,57.74
KMX,CarMax,133.81,130.0,136.67,140.0,3,-2.85,2.14,4.63
EPAM,Epam Systems,387.74,375.0,436.36,460.0,11,-3.29,12.54,18.64
VMC,Vulcan Materials,170.34,150.0,170.75,200.0,9,-11.94,0.24,17.41
MRNA,Moderna,133.28,80.0,167.82,208.0,12,-39.98,25.92,56.06
MKTX,Marketaxess Holdings,517.8,528.0,586.6,670.0,6,1.97,13.29,29.39
VTR,Ventas,54.87,45.0,55.0,63.0,8,-17.99,0.24,14.82
INCY,Incyte,81.75,70.0,97.0,120.0,9,-14.37,18.65,46.79
CAG,Conagra Brands,38.5,33.0,36.0,40.0,5,-14.29,-6.49,3.9
CTXS,Citrix Systems,136.64,150.0,168.67,206.0,4,9.78,23.44,50.76
